id,keyword,paragraph
44,건고추,"학명 : Capsicum annuum L.. 영명 : pepper(hot pepper, red pepper). 정의 : 가지과에 속하는 일년생 초본식물. 원산지 : 남아메리카. 분포지역 : 온대와 열대지방. 주산지 : 경북 안동·영양, 전북 정읍·고창, 충남 예산·당진, 충북 단양. 정의 : 쌍떡잎식물 통화식물목 가지과의 한해살이풀로 말린 고추를 뜻함. 고추의 기원 및 분포 : - 고추는 남아메리카로 콜롬버스가 신대륙을 발견한 이후 1493년에 스페인에 도입됨- 15세기에 영국과 중부유럽에 전파되었고 중국에는 17세기, 일본에는 도요토미 히데요시 시대인 1583~1598년에 전파됨. 우리나라에서의 내력 : - 고추가 우리나라에 도입된 내력은 광해군 6년(1614년) 이수광이 저술한 지봉유설에 고추를 가리키는 남만초의 기록이 있고, 그 도입경로가 왜국인 까닭에 왜개자(倭芥子)라고도 불림. 이것을 재배한다는 기록으로 보아 재배상황 및 고추 식용상식으로부터 고추의 도입 시기를 임진왜란 이전으로 추정함- 홍만선이 저술한 산림경제 고추의 재배적지, 재배법, 품종의 특징 등이 기술되어 있는 것을 보면 이시기에 종자가 중국에서 도입되고 재배가 일반화되면서 지역특성에 맞는 재래종이 분화되어 온 것으로 추정됨- 우리나라에는 1614년 광해군 6년에 일본에서 전파된 것이 처음임- 1710년 숙종 36년에 중국에서 도입된 기록이 있음- 1960년대 후반부터 중앙기술원(현 국립원예특작과학원)에서는 각 지방에서 수집한 재래종을 분리 육성시켜 새고추, 김장고추, 풋고추 등을 많이 보급시켜 옴. 모양 : - 잎은 어긋나기하며 잎자루가 길고 피침형이며, 양 끝이 좁고 가장자리가 밋밋함- 꽃은 여름철에 피며 백색이며, 잎겨드랑이에 1개 또는 2~3개가 곧게 또는 아래를 향해 달림- 열매는 장과로서 수분이 적고 길이는 5cm이지만, 품종에 따라 큰 것도 있으며 적색으로 익음- 높이가 60cm에 달하고 전체에 털이 약간 있으며 곧게 섬. 생리 생태적 특성 : - 고추는 고온성 작물로서 생육적온은 낮 25~28℃, 밤 18~22℃이며, 생육 최저온도는 13℃임- 지표면 아래 40cm에 분포하는 천근성 작물임- 지나친 가뭄은 생육을 저해하므로 바이러스가 쉽게 발병되고 석회결핍 등의 생리장해 원인이 될 수 있음. 이용 : 가루로 분쇄되어 유통, 소비되는데 김치, 고추장, 라면, 소스 등에 이용되고 일본에서는 고춧가루를 건강미용을 위해 매운 맛을 약하게 가미하여 제품화하고 있음. 유사재료 : 풋고추(말린 건고추와 달리 풋고추는 아직 익지 않은 푸른 고추 형태를 유지). "
45,새싹채소류,"분류 : 채소 > 새싹채소류. 특징 : 새싹채소는 본 잎이 1~3개 정도 달린 어린 채소로 싹채소 또는 싹기름채소라고도 부르며 다 자란 채소에 버금가거나 더 많은 영양소를 함유하고 있다. 새싹채소는 발아한 후 1주일 안에 수확하며, 노지에서 생산하지 않기 때문에 농약을 사용하지 않고 재배한다.. 종류(구분, 품종) : 콩나물, 숙주나물, 무순, 순무순, 메밀순, 배추순, 양배추순, 브로콜리순, 유채순, 다채순(비타민), 청경채순, 들깨순, 옥수수순, 홍화순, 부추순, 적채순, 크로바순, 비트순, 땅콩나물 등. 음식궁합 : 새싹채소는 비타민과 칼슘이 풍부하고 주로 익히지 않고 날 것으로 바로 먹을 수 있는데 비빔밥, 샐러드에 많이 이용한다.. 활용 : 샐러드나 각종 토핑, 생채 등에 사용하거나 요리의 장식용으로 활용할 수도 있다.. 고르는 법 : 길이가 5cm를 넘지 않는 어린 것이 좋으며, 누렇게 변색한 것은 피한다.. 손질법 : 새싹채소는 순이 매우 여리기 때문에 씻을 때 주의하여야 하는데, 큰 용기에 물을 받은 후 살살 흔들어서 씻거나 체에 밭쳐 씻는 것이 좋다.. 보관법 : 사용하고 남은 새싹채소는 비닐 팩에 담아 냉장 보관하면 되는데, 이때 입김을 불어 넣어서 팽팽하게 묶으면 새싹채소가 눌려서 짓무르는 것을 방지함과 동시에, 입김에 포함된 이산화탄소가 채소의 변질을 좀 더 늦춰준다.. "
46,비트,"외국어 표기 : Beetroot( 영어 ). 분류 : 채소 > 근채류. 원산지 : 지중해 연안의 남부유럽과 북아프리카. 주요 생산지 : -경기 이천-강원 평창-제주도. 특징 : 빨간 무라고도 불리는 비트는 잎은 적근대와 비슷하지만 , 빨간색 뿌리는 우리나라 강화 순무와 비슷하다.. 종류(구분, 품종) : 조생종 , 중생종 , 만생종. 효능 : 비트에는 베타인이라는 색소가 포함되어 있어 세포 손상을 억제하고 토마토의 8 배에 달하는 항산화 작용으로 폐암 , 폐렴 등 암을 예방하고 염증을 완화하는 효과가 있다.. 열량 : 100g 당 37kcal. 음식궁합 : 빨간 무라고도 불리는 비트는 베타인이라는 색소가 포함되어 있어 세포 손상을 억제하고 토마토의 8배에 달하는 항산화 작용을 한다 허브류나 샐러드용으로 많이 사용된다.. 활용 : 주로 생것 그대로 샐러드나 생채로 먹으면 좋다 . 수프를 끓이거나 전을 부쳐도 맛있다 .. 고르는 법 : 표면이 매끄럽고 모양이 둥그스름한 것을 골라야 한다 . 수확한 지 얼마 안 된 것은 흙이 많이 묻어 있고 , 잘랐을 때 붉은색이 선명하게 드러난다.. 손질법 : 흐르는 물에 흙을 깨끗이 씻은 후 껍질을 벗기고 적당한 크기로 잘라 이용하면 된다.. 보관법 : 수분이 날아가지 않도록 키친타월로 감싼 후 비닐 팩에 넣어 냉장고에 보관한다.. "
47,방풍나물,"분류 : 채소 > 산채류. 주요 생산지 : -전남 여수, 고흥-경북 포항-강원 강릉. 어원/유래 : 풍을 예방한다고 하여 지어진 ‘방풍나물’이란 이름이 널리 쓰이고 있으며, 원래는 ‘갯기름나물’이라고 부른다.. 특징 : 바닷가 모래에서 잘 자라는 식물로 특유의 향과 쌉싸름하면서 달콤한 맛을 가지고 있다.. 종류(구분,품종) : 원방풍, 갯방풍, 식방풍. 효능 및 영양성분 : 칼륨이 매우 풍부하고 칼슘과 인, 철분 등의 무기질이 다량 함유되어 있다. 또한 비타민 B군과 베타카로틴이 풍부하여 감기, 두통, 발한, 거담 등의 증세에 효능이 있다.. 열량 : 100g당 41Kcal. 음식궁합 : 따뜻한 성질을 가지고 있어 생선, 조개 등 해산물과 먹으면 궁합이 좋다.. 활용 : 나물이나 생채로 무쳐먹는다.. 고르는 법 : 방풍나물을 구입할 때는 잎이 신선하고, 줄기가 길지 않으며, 향기가 좋은 것을 고른다.. 손질법 : 흐르는 물에 깨끗이 씻고, 굵은 줄기는 먹기 질기므로 떼어낸다. 데칠 때는 끓는 물에 살짝 데친 후 물기를 꼭 짜서 이용한다.. 보관법 : 물에 적신 키친타월이나 신문지로 방풍나물을 감싼 후 비닐 팩에 넣어 보관한다. 이때 비닐 팩에 숨을 불어넣고 밀봉해야 수분의 손실을 막고 오랜 기간 싱싱하게 보관할 수 있다.. "
48,고깔 양배추,"외국어 표기 : caraflex cabbage( 영어 ). 분류 : 채소 > 엽경채류. 유사재료 : 양배추. 특징 : 양배추를 개량하여 원뿔 모양으로 재배한 고깔 양배추는 , 잎의 굵기가 일반 양배추에 비교해 얇고 크기가 작고 아삭거리는 식감으로 양상추를 대체하는 식재료로 활용될 수 있다.. 효능 및 영양성분 : 고깔 양배추는 열량은 낮으면서 칼륨과 칼슘 , 비타민 C 가 풍부하다 . 또한 설포라판 등의 다양한 항산화 물질을 함유하고 있어 암 예방과 면역력 강화에 효과적이다.. 열량 : 100g 당 20kcal. 음식궁합 : 전갱이젓갈과 잘 맞는다. 샐러드나 볶음요리, 코울슬로 등에 활용하면 좋다.. 활용 : 죽 , 수프 , 샐러드 , 찜 등의 요리에 다양하게 쓰이며 잎이 얇아서 일반 양배추 보다 생으로 먹기 좋다 . 주스를 만들어 먹어도 달콤한 맛을 느낄 수 있다.. 고르는 법 : 겉이 약간의 녹색을 띠며 잎이 두껍지 않고 , 심이 탄탄하게 바로 선 것이 좋은 것이다 . 또한 들었을 때 무거운 것이 속이 알찬 좋은 고깔 양배추이다.. 손질법 : 흐르는 물에 깨끗이 씻어내고, 양쪽 바닥의 심지 끝부분을 잘라낸 후 용도에 맞게 다양하게 손질하면 된다.. 보관법 : 양배추를 먹기 전까지 손질하지 않고 원상태로 두는 것이 비타민의 산화를 막을 방법이다. 남은 고깔 양배추는 비닐 팩에 잘 밀봉하여 냉장고 신선실에 보관한다.. "
49,양하,"분류 : 채소 > 엽경채류. 원산지 : 아시아 열대지방. 주요 생산지 : -제주-전남 완도. 특징 : 생강과에 속하는 채소로 줄기와 잎 모양이 생강과 비슷하며 , 생강과 샐러리를 섞어 놓은 것과 같은 향을 가지고 있다.. 효능 및 영양성분 : 칼륨 , 칼슘 , 마그네슘 , 철분 등의 무기질이 다양하게 함유되어 있다 . 독특한 향을 내는 주요 성분인 알파 피넨은 혈액순환을 원활하게 하는 효과가 있다.. 열량 : 100g 당 13kcal. 음식궁합 : 육류와 함께 섭취하면 양하의 독특한 향이 육류의 누린내를 잡아주며 , 필수영양소와 무기질이 균형을 이루게 된다.. 활용 : 김치 , 장아찌를 담그거나 국에 넣어 먹고 , 떡을 찔 때 양하 잎을 시루 밑에 깔면 떡의 향이 좋아진다.. 고르는 법 : 표면에 윤기가 돌고 , 전체적인 모양은 타원형으로 동글하여야 한다 . 봉오리가 펼쳐지지 않고 단단하게 뭉쳐있는 것이 신선한 양하이다.. 손질법 : 흐르는 물에 양하를 깨끗이 씻은 후 질긴 겉껍질을 한 꺼풀 벗긴다 . 통으로는 장아찌나 김치를 담글 수 있다 . 볶음이나 다른 요리의 재료로 사용할 경우 용도에 맞는 크기로 잘라서 사용한다.. 보관법 : 젖은 키친타월로 감싸서 비닐 팩에 넣어 냉장고 신선실에 넣어 보관한다 . 10 일 정도 보관이 가능하지만 , 3~4 일 정도 지난 시점부터 향기가 빠르게 없어지므로 가능한 한 빨리 먹어야 한다.. "
50,가지,"외국어 표기 : eggplant(영어). 학명 : Solanum melongena L. 분류 : 채소 > 과채류. 원산지 : 인도. 정의 : 가짓과에 속하는 일년생 초본식물. 주요 생산지 : - 경기 여주- 강원 홍천, 춘천. 특징 : 보라색 껍질과 부드러운 식감이 특징으로, 국내에서는 나물류의 요리에 사용되며 서양요리에 널리 활용되고 있다.. 종류(구분,품종) : 구형, 난형, 중장형, 장형, 대장형. 효능 및 영양성분 : 보라색 껍질에는 안토시아닌계 색소인 히아신과 나스닌이 풍부하여 혈관의 노폐물 제거와 항암효과를 가지고 있다. 수분과 칼륨이 다량 함유되어 있어 이뇨 작용을 촉진하여 노폐물 배출에 도움을 준다.. 열량 : 100g당 17kcal. 음식궁합 : 가지를 조리할 때 기름과 함께 조리하면 리놀산과 비타민 E의 흡수율을 높여준다.. 활용 : 나물, 볶음, 전, 튀김 등에 활용된다.. 고르는 법 : 꼭지 끝이 싱싱하며 모양이 곧고, 표면은 선명한 보랏빛으로 광택이 나야 한다.. 손질법 : 가지는 꼭지만 제거하여 껍질째 먹기 때문에 깨끗이 씻어 주는 것이 중요하며, 물에 담가두어 떫은맛을 제거해야 한다.. 보관법 : 가지는 저온에 약하므로 실온에 보관하는 것이 가장 좋고, 8℃ 이하에서는 가지 속살 색이 검게 변하니 주의한다.. "
51,아욱,"외국어 표기 : Chinese mallow(영어). 분류 : 채소 > 엽채류. 주요 생산지 : -서울 강동구-경기 여주, 광주, 남양주 등. 제철 : 7월~8월. 특징 : 중국에서 ‘최소의 왕’이라고 불리며 우리나라에서도 ‘가을 아욱국은 사립문 닫고 먹는다.’는 속담이 있을 정도로 맛과 영양이 뛰어난 채소다.. 효능 및 영양성분 : 단백질, 칼슘 함유량이 시금치보다 2배 이상 높아 성장기 아이들의 뼈 건강과 신장 기능 향상에 효과적이다.. 열량 : 100g당 23kcal (생것), 21kcal (데친 것). 음식궁합 : 비타민A, C가 풍부하여 단백질, 비타민B가 풍부한 새우와 함께 섭취하면 서로 부족한 영양을 채울 수 있다.. 활용 : 된장국, 나물 무침, 쌈밥으로 활용된다.. 고르는 법 : 잎이 넓고 부드러우며 줄기가 통통하고 연한 것이 좋다.. 손질법 : 억센 줄기는 잘라내고 남은 줄기는 얇은 껍질을 벗겨서 사용한다. `잎은 물에 담가 치댄 후 헹구어 풋내를 제거한다.. 보관법 : 수분을 제거하여 신문지에 싼 후 냉장고 신선실에 보관한다.. "
52,대파,"분류 : 채소 > 엽경채류. 주요 생산지 : -전남 진도, 신안-강원 평창-경기 남양주, 고양. 유사재료 : 릭 , 쪽파 , 펜넬. 특징 : 우리나라 음식의 대표적인 향신 채소로 생으로 사용할 때는 알싸한 매운맛과 특유의 향이 있고 , 익히면 단맛을 내기 때문에 다양한 요리에 널리 쓰이고 있다.. 효능 : 파에는 식이섬유가 풍부해 장의 운동을 원활하게 하여 숙변 제거에 효과가 있다 . 대파에 풍부하게 함유된 알리신은 항균작용이 뛰어나 면역력을 높여주고 감기를 예방해준다.. 열량 : 100g 당 29kcal. 음식궁합 : 된장과 잘 맞으며 장아찌로 이용하면 이롭다. 국물요리나 육수의 부재료 등으로 이용하며 양념류에도 사용된다.. 활용 : 향신 채소로 다양한 요리에 부재료로 활용되고 , 육수를 끓일 때 시원한 맛을 내 기 위해 사용된다.. 고르는 법 : 잎 부분이 고르게 녹색을 띠며 색이 분명하고 , 줄기가 끝까지 곧게 뻗어 있는 것이 좋다 . 흰 뿌리 쪽을 만져보았을 때 너무 무르지 않고 탄력이 있는 것이 좋다.. 손질법 : 먼저 흐르는 물에 대파를 깨끗이 씻어준 후 뿌리 부분을 자르고 용도에 맞게 손질하면 된다.. 보관법 : 단기간 보관할 경우에는 신문지에 잘 싸서 냉장고에 보관하면 된다 . 물에 닿았을 경우에는 되도록 빨리 이용해야 하며 , 조리 후 남은 부위는 밀폐 용기에 넣어 냉장 보관하거나 절단하여 냉 동 보관한다.. "
53,릭,"외국어 표기 : leek( 영어 ). 분류 : 엽경채류. 원산지 : 지중해 연안. 주요 생산지 : -수입 : 벨기에 , 스리랑카 등지-국산 : 전국 개인 농장 별 소규모 경작-국내에서 생 릭의 판매처는 거의 없고 , 냉동 / 건조 등의 제품으로 수입되나 이 수량도 매우 적음.. 유사재료 : 대파 , 펜넬. 특징 : 대파와 비슷하나 훨씬 굵고 조직은 연하며 하얗다 . 대파와 양파의 중간 정도의 맛이 나며 , 일반 대파보다 매운맛이 적고 단맛이 강한 것이 특징이다.. 효능 및 영양성분 : 비타민 A, C, 철분 , 엽산 등이 많이 들어있다 . 또한 릭에 들어있는 이눌린 성분은 식이섬유의 일종으로 소화를 돕고 장내 환경을 개선하며 혈당을 낮추는 데 효과적이다.. 열량 : 100g 당 61kcal. 음식궁합 : 대파와 양파의 중간 정도이며 단맛이 강해 파스타, 볶음류, 김치 등에 사용하면 좋다.. 활용 : 파스타 , 볶음류 , 김치 등에 활용. 고르는 법 : 진한 녹색의 잎은 질기고 식감이 좋지 않아 흰 부분이 많은 릭을 골라야 한다.. 손질법 : 색깔이 변한 바깥 잎은 떼어내고 잎과 잎 사이에 들어있는 가는 모래 등을 잘 씻어준다 . 릭의 진한 녹색 잎과 뿌리 부분을 제거한 후 흰 부분을 사용한다.. 보관법 : 씻지 않은 상태로 키친타월로 잘 싸준 후 비닐 백에 담아 냉장고 신선실에 보관한다.. "
54,쪽파,"분류 : 채소 > 엽경채류. 주요 생산지 : -봄 : 충남 예산 / 아산 / 서천 / 당진 , 경남 거제-가을 : 전남 보성 , 제주. 유사재료 : 실파 , 차이브. 특징 : 파와 양파를 교잡한 품종으로 어떤 요리에든지 폭넓게 활용할 수 있으며 재배가 쉬워서 가정에서도 쉽게 기를 수 있다 . 대파보다 맛이 순하고 잎이 여려서 다양한 요리에 활용할 수 있다.. 종류(구분, 품종) : 조생종 , 중생종 , 만생종. 효능 및 영양성분 : 각종 비타민과 미네랄을 함유하고 있으며 특히 비타민 A 의 함량이 많다 . 각종 성인병을 예방하는 데 도움이 되며 , 섬유질이 풍부해 장의 운동을 활발하게 만들어 변비를 해소하는 데 효과적이다.. 열량 : 100g 당 27kcal. 음식궁합 : 오징어 맛살을 함께 섭취하면 영양도 높아진다. 고기에 넣어 볶으면 부드러운 식감과 담백한 고기육즙을 즐길 수 있다. 양념으로 많이 사용된다.. 활용 : 향신 채소로 폭넓게 활용되고 있으며 , 전을 부치거나 김치를 담글 때 사용하면 좋다.. 고르는 법 : 색상은 선명하고 파릇한 녹색을 띠고 윤기가 도는 것이 좋은 파이다 . 파 특유의 알싸한 향기를 가지고 있으며 , 줄기가 싱싱하여 탄력 있는 것을 고른다.. 손질법 : 뿌리에 묻은 흙을 털어낸 다음 , 뿌리 밑바닥의 까맣고 단단한 부분을 떼어낸다 . 그 후 물에 잠깐 담가두어 미세 흙먼지를 불려둔 후 , 흐르는 물에 씻어주면 깨끗이 씻을 수 있다.. 보관법 : 흙이 묻어있는 상태로 신문지에 싸서 냉장고에 보관해야 오래 보관할 수 있다 . 1~5 ℃ 전후 온도가 가장 적당하며 보관은 5~7 일간 가능하다.. "
55,근대,"외국어 표기 : Swiss chard(영어). 분류 : 채소 > 엽채류. 주요 생산지 : -경기 남양주, 포천, 양평-경북 예천. 제철 : 6월~8월. 유사재료 : 시금치. 특징 : 시금치와 유사하나 더 진한 향기와 맛을 가지고 있으며 줄기는 억세어서 주로 잎을 사용한다.. 종류(구분, 품종) : 청근대, 적근대. 효능 : 피부 미용과 다이어트에 효과적인 식품으로 수분, 식이섬유 함유량이 많을 뿐 아니라 무기질이 풍부해 소화 기능과 혈액순환을 원활하게 한다.. 열량 : 100g당 16kcal (생것), 28kcal (데친 것). 음식궁합 : 쌀과 함께 채소죽으로 끓여 먹으면 좋다. 된장과 잘 어울린다.. 활용 : 해외에서는 파스타와 샐러드의 재료로 사용하고, 우리나라에서는 국거리, 쌈 채소, 나물의 재료로 사용한다.. 고르는 법 : 잎이 짙은 녹색을 띠고 크기는 작은 것이 좋다. 줄기는 단단해야 하며 길이가 지나치게 긴 것은 피한다.. 손질법 : 흐르는 물에 씻은 후 잎과 줄기를 분리해 각 용도에 맞게 사용한다. 줄기는 그늘에 말린 후 데치면 질긴 식감과 풋내를 제거할 수 있다.. 보관법 : 신문지에 싸서 냉장고 신선실에 보관한다.. "
56,쑥갓,"외국어 표기 : crown daisy (영어). 분류 : 채소 > 엽채류. 원산지 : 지중해 연안. 주요 생산지 : -경기 고양, 남양주, 하남-전북 정읍-전남 여수-경남 김해, 충무, 의령. 특징 : 향긋한 향으로 음식의 비린내를 잡아주는 향미 채소로 사용된다.. 효능 : 비타민과 무기질이 매우 풍부하여 염증 유발 물질인 히스타민이 과다 분비되는 것을 막아 알레르기 반응을 억제한다.. 열량 : 100g당 26kcal (생것), 19kcal (데친 것). 음식궁합 : 비타민D가 풍부한 표고버섯과 함께 섭취하면 부족한 영양소를 보충할 수 있다.. 활용 : 쌈 채소, 겉절이와 김치 혹은 국, 찌개의 향미 채소로 활용된다.. 고르는 법 : 잎은 짙은 녹색과 광택을 띠고 줄기는 짧고 가는 것이 좋다.. 손질법 : 흐르는 물에 단시간 씻어 사용한다. 데칠 때는 소금을 넣고 뚜껑을 연 채 데친 후 찬물에 곧바로 헹궈낸다.. 보관법 : 분무기로 물을 뿌린 후 비닐 팩에 담아 냉장 보관한다. 장기 보관할 시 소금물에 데친 후 물기를 제거하여 랩으로 싸서 냉동 보관한다.. "
57,겨자,"외국어 표기 : Mustard(영어). 분류 : 채소 > 엽채류. 원산지 : 중국. 주요 생산지 : 경기 이천, 광주. 특징 : 톡 쏘는 매운맛과 특유의 향이 특징이다.. 종류(구분,품종) : 종류가 매우 다양하나 잎의 경우 국내에서는 주로 곱슬겨자채와 적겨자채를 먹고, 겨자씨 가공용으로는 황겨자를 사용한다.. 효능 : 칼륨과 엽산 함량이 높아 혈압을 안정화시켜 고혈압을 예방한다.. 열량 : 100g당 20kcal (생것). 음식궁합 : 생선회와 함께 섭취할 경우 비린내를 제거하고 체내 어독(魚毒)을 풀어준다.. 활용 : 잎은 쌈 채소 및 샐러드의 재료 혹은 김치를 담가 먹고, 씨를 제분하여 가공한 겨자 소스는 특유의 맛과 향으로 각종 요리의 향신료로 사용한다.. 고르는 법 : 잎에 결점이 없고 황변 혹은 갈변한 부분이 없는 것을 고른다.. 손질법 : 흐르는 물에 씻은 후 용도에 맞게 잘라 사용한다.. 보관법 : 비닐 팩에 밀봉하여 냉장고 신선실에 보관한다.. "
58,갓,"분류 : 채소 > 엽채류. 주요 생산지 : -경기 고양 , 남양주 , 포천 , 전남 여수. 제철 : 9월~12월. 특징 : 잎과 줄기, 씨를 모두 식용하는데 잎과 줄기는 아삭한 식감과 고유의 향이 있어 김치나 나물의 재료로 사용하며 씨는 제분하여 향신료로 사용한다.. 종류(구분, 품종) : 적색갓, 청색갓, 얼청갓. 효능 : 항산화 물질이 풍부해 노화와 질병 발병을 억제하는 효과가 있다.. 열량 : 100g당 36kcal (생것), 24kcal (돌산갓, 생것). 음식궁합 : 된장과 잘어울려서 사찰에서는 된장으로 갓김치를 만들기도 하는데 특유의 맛과 냄새를 부드럽게 해 약효면이나 건강음식으로 충분하다.. 활용 : 김치로 담가 먹거나 찌개의 향미 채소, 샐러드 채소로도 활용한다.. 고르는 법 : 줄기가 가늘고 연하며 솜털 같은 가시가 살아있어야 한다.. 손질법 : 물에 씻어 생것으로 사용하거나 뜨거운 물에 살짝 데쳐 사용한다.. 보관법 : 키친타월로 싼 후 냉장고 신선실에 보관한다. 손질 후 물기가 있는 경우 키친타월로 싼 후 비닐 팩에 밀봉하여 냉장 보관한다.. "
59,봄동,"외국어 표기 : Seasoned cabbage(영어). 분류 : 채소 > 엽채류. 주요 생산지 : -전남 진도, 해남, 완도-경북 칠곡. 제철 : 2월~4월. 특징 : 겨울에 파종하여 봄에 수확하는 배추로 잎이 꽉 찬 일반 배추와 달리 잎이 옆으로 퍼져있다. 일반 배추보다 단맛이 강한 것이 특징이다.. 효능 : 베타카로틴 함량이 매우 높아 항산화 작용으로 인한 노화 방지 및 암 예방에 효과적이다.. 열량 : 100g당 23kcal (생것), 22kcal(데친 것). 음식궁합 : 봄동은 단백질과 지방이 부족하기 때문에 쌈 채소나 겉절이로 육류와 함께 먹으면 부족한 영양을 보충할 수 있다.. 활용 : 주로 겉절이를 만들거나 국, 무침의 재료로 사용한다.. 고르는 법 : 속잎이 노랗고 크기는 성인 남자의 두 손으로 감쌀 수 있는 정도가 좋다.. 손질법 : 벌어진 잎을 모아 밑동을 자른 후 한 잎씩 흐르는 물에 씻어 사용한다.. 보관법 : 물기를 제거한 후 비닐 팩에 밀봉하여 냉장고 신선실에 보관한다.. "
60,카사바,"외국어 표기 : Cassava(영어). 분류 : 서류. 원산지 : 남아메리카. 주요 생산지 : -카사바 : 베트남, 인도네시아-타피오카 전분 : 대만, 중국. 특징 : 길쭉한 고구마와 같은 외관을 가진 식물로 열대지방에서는 훌륭한 탄수화물 공급원으로 활용되어온 카사바는 껍질은 갈색을 띠고 속은 흰색을 띠는데, 열을 가할 경우 속이 반투명한 노란색으로 변하는 것이 특징이다.. 효능 및 영양성분 : 탄수화물 함량은 매우 높지만, 당 지수는 낮아 많은 에너지를 생성하면서 혈당을 일정하게 유지할 수 있는 식재료로 글루텐이 없으며 무기질, 사포닌 성분을 다량 함유하고 있다.. 열량 : 100g당 160kcal (생것). 음식궁합 : 까망베르 치즈와 잘어울린다. 글루텐을 함유하고 있지 않아 빵을 만들때 사용하면 효과를 볼 수 있다.. 활용 : 카사바의 원산지인 남미에서는 끓이고 으깨거나, 튀김, 구이 등 다양한 요리에 활용하며, 우리나라에서는 주로 사료, 전분, 주정, 식품의 점성을 높이는 보조 재료 등으로 사용된다. 최근 대중화된 버블티에 들어가는 타피오카 펄이 바로 카사바의 전분인 타피오카로 만든 가공품이다.. 고르는 법 : 만졌을 때 단단하고 무른 부분이 없는 것이 좋다. 회색, 파란색을 띠거나 카사바 냄새가 강하게 나는 것은 피한다.. 손질법 : 껍질이 매우 두꺼우므로 조각으로 자른 뒤 절단면부터 칼집을 내어 껍질을 벗겨 사용한다.. 보관법 : 손질 후에는 물에 담근 뒤 랩으로 감싸 냉장 보관한다. 냉동 보관 시에는 껍질을 벗기고 자른 후 냉동고에 보관한다.. 먹는 법 : 카사바는 비소 성분을 포함하고 있기 때문에 반드시 가열 조리하여 섭취해야 한다.. "
61,이집트콩(병아리콩),"외국어 표기 : Chickpea(영어). 분류 : 두류. 원산지 : 중동. 주요 생산지 : 미국, 호주, 인도, 미얀마 등. 어원/유래 : 병아리의 얼굴을 닮았다고 하여 병아리콩, 칙피라고도 부름. 특징 : 슈퍼 푸드로 알려져 주목받고 있으며 땅콩, 밤과 유사한 고소한 맛이 특징으로 콩 비린내가 없고 포만감이 높다.. 효능 및 영양성분 : 단백질, 무기질, 비타민 함량이 높고, 섬유질이 풍부해 당뇨병 환자에게 좋고 다이어트에 효과적이다. 칼슘과 비타민 C, 철분도 풍부하여 면역력 증진과 빈혈에 도움을 준다.. 열량 : 100g당 378kcal (생것), 164kcal (익힌 것). 음식궁합 : 이집트콩에 함유되어있는 단백질은 트립토판, 메티오닌 등이 부족하여 통곡물과 함께 섭취하면 영양상 상호 보완이 된다.. 활용 : 밥에 넣어 먹거나 각종 소스, 샐러드, 수프, 패티, 볶음 등에 활용이 가능하고 오븐에 구워 스낵으로 먹기도 한다.. 고르는 법 : 콩에 흠집이 없는지, 이물질은 없는지 확인한다. 물에 불리는 번거로움을 피하려면 통조림 제품을 선택하면 된다.. 손질법 : 깨끗이 씻어서 6~10시간 정도 물에 불려서 사용한다.. 보관법 : 직사광선을 피하고 습기가 없는 서늘한 곳에 보관한다. 이집트콩 통조림은 개봉 후 밀폐 용기에 담아 냉장 보관한다.. 먹는법 : 쌀과 함께 밥을 지어 먹거나 푹 삶아 으깨어 소스, 수프, 스튜 등을 만들어 먹는다.. "
62,치아시드,"외국어 표기 : Chia seed(영어). 분류 : 두류. 원산지 : 멕시코, 과테말라. 주요 생산지 : 미국, 멕시코, 파라과이, 볼리비아, 아르헨티나. 어원/유래 : 치아(Chia)라는 식물의 씨앗이라 치아시드(Chia seed)라고 불림. 특징 : 고대 미얀마인들이 즐겨 먹었던 식재료로, 물에 넣으면 부피가 10~12배 정도 불어나는 것이 특징이다.. 효능 : 섬유소가 풍부하게 함유되어있어 섭취 시 포만감을 주어 다이어트에 효과적이고, 소화를 도우며 혈당 조절에도 도움을 준다. 또한 우유보다 많은 칼슘을 함유하고 있어 뼈 건강에도 좋다.. 열량 : 100g당 486kcal (마른 것). 음식궁합 : 딸기 ,바나나와 함께 섭취하면 칼슘 섭취에 효과적이다. 유제품(유산균음료)과 궁합이 잘 맞는다.. 활용 : 밥에 넣어 먹거나 수프를 만들어 먹기도 하며, 샐러드나 요거트에 토핑 등으로 활용된다.. 고르는 법 : 치아시드는 갈색, 검은색, 흰색 등 다양한 색으로 이루어져 있어 개인 기호에 맞게 골라 사용한다.. 손질법 : 치아시드에 약 10배의 물을 붓고 10~20분 정도 불려서 사용한다.. 보관법 : 밀봉하여 직사광선을 피해 서늘한 곳에 보관한다.. 먹는 법 : 물이나 우유 등에 불려서 먹으며, 불리지 않고 바로 섭취할 경우에는 수분을 충분히 섭취해야 한다.. "
