이름,id,대분류,소분류,재료,건강정보,조회수,link
불고기,3390252,48164,48202,"['쌈장', '대파', '깐마늘', '소고기', '또는', '잎채소', '풋고추', '양파', '곁들임', '팽이버섯']","['항암', '고혈압']","54,793",/entry.nhn?docId=3390252&cid=48164&categoryId=48202
불고기,5678219,48164,48202,"['실파', '식용유', '양파', '표고버섯']","['항암', '고혈압']","8,199",/entry.nhn?docId=5678219&cid=48164&categoryId=48202
더덕구이,955961,48164,48202,"['설탕', '더덕', '간장', '참기름', '다진마늘', '다진파', '깨소금']","['고혈압', '당뇨']","467,220",/entry.nhn?docId=955961&cid=48164&categoryId=48202
새송이버섯구이,1992985,48164,48202,"['올리브오일', '후춧가루', '새송이버섯', '날치알', '들기름', '마요네즈', '피망', '소금', '참기름', '땅콩버터', '새송이버섯양념', '양파', '삼색파프리카', '채소볶음']","['고혈압', '관절염']","38,187",/entry.nhn?docId=1992985&cid=48164&categoryId=48202
대하구이,1988216,48164,48202,"['대하', '소금']",[],"147,802",/entry.nhn?docId=1988216&cid=48164&categoryId=48202
황태더덕양념구이,1989298,48164,48202,"['실파', '고추장', '후춧가루', '유장', '황태', '양념장', '썬', '마늘즙', '통깨', '물엿', '생강즙', '더덕', '참기름', '양파즙', '간장', '실고추']","['고혈압', '당뇨']","49,089",/entry.nhn?docId=1989298&cid=48164&categoryId=48202
새우구이,5678116,48164,48202,"['새우', '굵은소금']",[],"10,816",/entry.nhn?docId=5678116&cid=48164&categoryId=48202
코다리 양념구이,1992673,48164,48202,"['실파', '고추장', '양념장', '코다리', '설탕', '물엿', '맛술', '다진', '다진마늘', '고춧가루', '다진파', '간장']",[],"71,559",/entry.nhn?docId=1992673&cid=48164&categoryId=48202
불고기,5695861,48164,48202,"['적상추', '파프리카', '양파', '쇠고기', '팽이버섯']","['항암', '고혈압']","2,427",/entry.nhn?docId=5695861&cid=48164&categoryId=48202
닭강정,5695830,48164,48202,"['후춧가루', '식용유', '닭', '통깨', '감자전분', '소금', '청주', '다진땅콩']",[],"7,261",/entry.nhn?docId=5695830&cid=48164&categoryId=48202
양송이 치즈구이,1991398,48164,48202,"['양송이버섯', '다진쇠고기', '다진마늘', '후춧가루', '식용유', '모차렐라치즈', '소금', '슬라이스치즈', '돈까스소스', '양파', '청주']",['고혈압'],"50,819",/entry.nhn?docId=1991398&cid=48164&categoryId=48202
삼겹살 김치말이 오븐구이,1992971,48164,48202,"['피자치즈', '후춧가루', '김장', '삼겹살밑간양념', '생강즙', '소금', '다진마늘', '맛술', '삼겹살', '아스파라거스', '팽이버섯']",['항암'],"45,587",/entry.nhn?docId=1992971&cid=48164&categoryId=48202
돼지등심 간장구이,1991266,48164,48202,"['청주', '진간장', '깨소금', '후춧가루', '꿀', '쪽파', '설탕', '생강즙', '참기름', '다진마늘', '돼지고기', '다진파', '마늘', '올리브유']","['항암', '고혈압', '관절염']","30,360",/entry.nhn?docId=1991266&cid=48164&categoryId=48202
옥돔구이,956015,48164,48202,"['대파', '식용유', '옥돔', '소금']",[],"57,219",/entry.nhn?docId=956015&cid=48164&categoryId=48202
조기오븐구이,1989575,48164,48202,"['쌀뜨물', '식용유', '생강즙', '소금', '조기']",[],"37,608",/entry.nhn?docId=1989575&cid=48164&categoryId=48202
닭갈비,5682386,48164,48202,"['식용유', '떡볶이떡', '닭', '양배추', '깻잎', '고구마']","['항암', '고혈압']","4,183",/entry.nhn?docId=5682386&cid=48164&categoryId=48202
연근칩,1989157,48164,48202,['연근'],['고혈압'],"83,182",/entry.nhn?docId=1989157&cid=48164&categoryId=48202
돔배기산적,955983,48164,48202,"['물', '청주', '후춧가루', '설탕', '실고추약간밑양념간장', '생강', '통깨', '상어고기', '생강즙', '참기름', '다진마늘', '다진파', '마늘']","['항암', '고혈압', '관절염']","22,558",/entry.nhn?docId=955983&cid=48164&categoryId=48202
고구마크림치즈구이,1990402,48164,48202,"['꿀', '검은깨', '우유', '달걀노른자', '크림치즈', '고구마', '호두']","['항암', '고혈압', '당뇨', '관절염']","14,447",/entry.nhn?docId=1990402&cid=48164&categoryId=48202
가지호박버섯구이,1990126,48164,48202,"['양송이버섯', '애호박', '식용유', '양념장', '송송썬실파', '들기름', '설탕', '다진마늘', '깨소금', '가지', '간장']","['항암', '고혈압']","25,495",/entry.nhn?docId=1990126&cid=48164&categoryId=48202
통오징어구이,1992983,48164,48202,"['고추장', '레몬즙', '후춧가루', '설탕', '오징어양념', '깻잎', '물엿', '고춧가루', '간장', '참기름', '다진마늘', '깨소금', '양파', '청주', '오징어']","['항암', '고혈압']","31,612",/entry.nhn?docId=1992983&cid=48164&categoryId=48202
양송이구이,1992340,48164,48202,"['양송이버섯', '다진쇠고기', '빵가루', '후춧가루', '모차렐라치즈', '깻잎', '불린당면', '소금', '다진마늘', '양파', '다진파']","['항암', '고혈압']","30,850",/entry.nhn?docId=1992340&cid=48164&categoryId=48202
감자 연어구이,1991182,48164,48202,"['연어', '후춧가루', '대파', '레몬', '버터', '마요네즈', '로즈메리', '홀그레인', '소금', '레몬즙', '감자', '다진양파']","['항암', '고혈압', '관절염']","58,908",/entry.nhn?docId=1991182&cid=48164&categoryId=48202
쇠고기등심구이와인소스,1989451,48164,48202,"['올리브오일', '후춧가루', '토마토케첩', '쇠고기밑간', '발사믹식초', '황설탕', '마늘즙', '와인소스', '소금', '파슬리가루', '우스터소스', '양파', '마늘', '쇠고기', '레드와인']","['항암', '고혈압', '관절염']","46,365",/entry.nhn?docId=1989451&cid=48164&categoryId=48202
닭갈비,5695806,48164,48202,"['할라피뇨', '대파', '떡볶이떡', '닭', '양배추', '깻잎', '모짜렐라치즈', '고구마', '양파']","['항암', '고혈압']","8,535",/entry.nhn?docId=5695806&cid=48164&categoryId=48202
참치 타다기,1991442,48164,48202,"['후춧가루', '무', '다진마늘', '당근', '오렌지과육', '오렌지즙', '후추', '오렌지드레싱', '과육', '올리고당', '냉동참치', '소금', '레몬즙', '간장', '오이', '올리브유', '다진양파']","['항암', '고혈압']","20,606",/entry.nhn?docId=1991442&cid=48164&categoryId=48202
떡갈비,1988675,48164,48202,"['깨', '소갈비', '청주', '대파', '양념', '설탕', '후추', '참기름', '마늘']","['항암', '고혈압', '관절염']","377,428",/entry.nhn?docId=1988675&cid=48164&categoryId=48202
등심스테이크와 감자구이,1989639,48164,48202,"['후춧가루', '쇠고기밑간', '설탕', '밀가루', '물', '토마토페이스트', '갈릭브라운소스', '감자', '쇠고기', '올리브오일', '버터', '통후추', '마늘', '간통후추', '우유', '사방', '스테이크소스', '오레가노', '소금']","['항암', '고혈압', '관절염']","50,079",/entry.nhn?docId=1989639&cid=48164&categoryId=48202
불고기,5682429,48164,48202,"['느타리버섯', '대파', '식용유', '소고기', '양파', '팽이버섯']","['항암', '고혈압']","2,073",/entry.nhn?docId=5682429&cid=48164&categoryId=48202
양념갈비,1990873,48164,48202,"['청주', '진간장', '배', '후춧가루', '식용유', '양념', '파', '물엿', '생강즙', '조선간장', '참기름', '양파', '마늘']","['항암', '고혈압', '관절염']","177,034",/entry.nhn?docId=1990873&cid=48164&categoryId=48202
닭꼬치,1988162,48164,48202,"['물', '고추장', '진간장', '대신으로아이들에게', '후춧가루', '않고담백한맛을', '대파', '식용유', '닭가슴살', '설탕', '간장', '청주', '닭고기', '토마토케첩']",[],"90,391",/entry.nhn?docId=1988162&cid=48164&categoryId=48202
연어구이와 고추냉이소스,1989568,48164,48202,"['연어', '올리브오일', '경수채', '물', '간장고추냉이소스', '레몬', '설탕', '허브소금', '치커리', '고추냉이', '식초', '통후추', '간장']","['항암', '고혈압', '관절염']","44,036",/entry.nhn?docId=1989568&cid=48164&categoryId=48202
바비큐 립,1990986,48164,48202,"['물', '설탕', '마늘', '케첩', '생강', '대파잎', '바비큐소스', '레몬즙', '우스터소스', '핫소스', '포크립', '토마토케첩', '레드와인']","['항암', '고혈압', '관절염']","55,290",/entry.nhn?docId=1990986&cid=48164&categoryId=48202
북어구이,740974,48164,48202,"['고추장', '북어포', '설탕', '간장', '참기름', '다진마늘', '깨소금', '다진파', '양념장']",[],"21,295",/entry.nhn?docId=740974&cid=48164&categoryId=48202
고등어구이,1988385,48164,48202,"['식용유', '고등어']",['항암'],"79,695",/entry.nhn?docId=1988385&cid=48164&categoryId=48202
갈치구이,1988808,48164,48202,"['갈치', '식용유', '소금']",[],"72,574",/entry.nhn?docId=1988808&cid=48164&categoryId=48202
돼지갈비구이,5678146,48164,48202,['돼지갈비'],[],"3,001",/entry.nhn?docId=5678146&cid=48164&categoryId=48202
바비큐폭찹,1989901,48164,48202,"['식용유', '황설탕', '레몬', '버터', '셀러리', '스톡', '밀가루', '핫소스', '식초', '파슬리', '소금', '흰후춧가루', '월계수잎', '우스터소스', '양파', '마늘', '토마토케첩', '돼지갈비']","['항암', '고혈압', '관절염']","42,031",/entry.nhn?docId=1989901&cid=48164&categoryId=48202
모둠버섯볶음과 닭가슴살구이,1992251,48164,48202,"['후춧가루', '설탕', '참기름', '붉은고추', '생표고버섯', '간장', '청주', '양송이버섯', '느타리버섯', '버터', '양파', '마늘', '굴소스', '식용유', '청경채', '애느타리버섯', '버섯볶음', '소금', '닭가슴살']","['항암', '고혈압', '관절염']","84,557",/entry.nhn?docId=1992251&cid=48164&categoryId=48202
푸아그라,1988450,48164,48202,"['건포도', '꿀', '어린잎채소', '발사믹식초', '버터', '설탕', '오렌지주스', '거위간', '양파', '식빵', '올리브유', '레드와인']","['고혈압', '관절염']","55,607",/entry.nhn?docId=1988450&cid=48164&categoryId=48202
고구마그라탱,1988515,48164,48202,"['빵가루', '베샤멜', '버터', '가루', '밀가루', '후추', '고구마', '파슬리', '소금', '파르메산치즈', '양파', '생크림']","['항암', '고혈압']","44,914",/entry.nhn?docId=1988515&cid=48164&categoryId=48202
호박에 넣은 오리고기,1992232,48164,48202,"['고추기름', '프레시바질잎', '후춧가루', '오리', '녹말', '양념장', '설탕', '마늘', '생강', '식초', '소금', '단호박', '간장']","['항암', '고혈압', '관절염']","32,700",/entry.nhn?docId=1992232&cid=48164&categoryId=48202
캠핑 자반고등어구이,1991920,48164,48202,"['양념장', '마늘', '자반고등어', '통깨', '파', '간장']","['항암', '고혈압', '관절염']","25,850",/entry.nhn?docId=1991920&cid=48164&categoryId=48202
보쌈,5695881,48164,48202,"['후춧가루', '생강', '소금', '돼지고기', '정종', '마늘', '양파']","['항암', '고혈압', '관절염']","2,159",/entry.nhn?docId=5695881&cid=48164&categoryId=48202
낙지호롱,955995,48164,48202,"['대파', '설탕', '낙지', '밀가루', '물엿', '생강즙', '고춧가루', '소금', '참기름', '다진마늘', '볏짚', '다진파', '청주', '깨소금']",[],"58,263",/entry.nhn?docId=955995&cid=48164&categoryId=48202
삼치 유자청구이,1991013,48164,48202,"['양념장', '유자청', '마늘', '생강', '감자전분', '고추', '삼치', '파', '간장']","['항암', '고혈압', '관절염']","23,289",/entry.nhn?docId=1991013&cid=48164&categoryId=48202
닭다리 구이와 오렌지소스,1992078,48164,48202,"['물', '후춧가루', '닭다리', '대파채', '식용유', '버터', '화이트와인', '오렌지주스', '오렌지', '오렌지소스', '호박', '사과', '소금', '곁들임채소', '녹말물', '우스터소스', '양파', '감자']","['고혈압', '당뇨']","14,913",/entry.nhn?docId=1992078&cid=48164&categoryId=48202
돼지갈비구이,1988382,48164,48202,"['대파', '설탕', '후추', '참기름', '마늘', '간장', '돼지갈비']","['항암', '고혈압', '관절염']","97,442",/entry.nhn?docId=1988382&cid=48164&categoryId=48202
도미구이,1991579,48164,48202,"['도미', '소금', '참기름']",[],"51,099",/entry.nhn?docId=1991579&cid=48164&categoryId=48202
돼지곱창구이,1988140,48164,48202,"['후춧가루', '식용유', '밀가루', '없을때에는소주로대신해냄새를제거할수', '소금', '소주', '청주', '돼지곱창']",[],"36,908",/entry.nhn?docId=1988140&cid=48164&categoryId=48202
삼치소금구이,1989937,48164,48202,"['상추', '흰깨', '물', '연근', '우엉조림', '우엉', '레몬', '담금초', '설탕', '식초', '다시물', '소금', '간장', '삼치', '청주', '무']","['항암', '고혈압']","34,255",/entry.nhn?docId=1989937&cid=48164&categoryId=48202
더덕구이,1990792,48164,48202,"['고추장', '양념', '설탕', '굵은파', '더덕', '간장', '참기름', '마늘', '깨소금']","['항암', '고혈압', '당뇨', '관절염']","50,084",/entry.nhn?docId=1990792&cid=48164&categoryId=48202
새우양파소금구이,1989597,48164,48202,"['양파', '대하', '은박지', '소금']",['고혈압'],"39,046",/entry.nhn?docId=1989597&cid=48164&categoryId=48202
불고기,3390149,48164,48202,"['상추', '후춧가루', '꿀', '양념장간장', '설탕', '참기름', '쇠고기', '다진마늘', '깨소금', '배즙', '다진파', '양파']",['고혈압'],"23,547",/entry.nhn?docId=3390149&cid=48164&categoryId=48202
꼬치 산적,1990912,48164,48202,"['후춧가루', '새송이버섯', '당근', '식용유', '설탕', '파', '참기름', '계란', '잣가루', '쇠고기양념', '소금', '간장', '오이', '마늘', '쇠고기']","['항암', '고혈압', '관절염']","87,861",/entry.nhn?docId=1990912&cid=48164&categoryId=48202
버팔로윙,1991341,48164,48202,"['굴소스', '날개', '녹인버터', '후춧가루', '다진마늘', '밀가루', '올리고당', '미술', '고춧가루', '소금', '닭날개양념', '닭날개', '핫소스', '간장']",[],"59,198",/entry.nhn?docId=1991341&cid=48164&categoryId=48202
연어구이와 샐러드,1992897,48164,48202,"['연어', '올리브오일', '방울토마토', '후춧가루', '연어밑간', '아보카도', '설탕', '바질잎', '핫소스', '피망', '소금', '레몬즙', '맛술', '양파', '드레싱']","['항암', '고혈압', '당뇨', '관절염']","38,947",/entry.nhn?docId=1992897&cid=48164&categoryId=48202
생선양념구이,1990796,48164,48202,"['고추장', '후춧가루', '생선', '설탕', '또는', '소금', '참기름', '간장', '파', '깨소금']",[],"32,337",/entry.nhn?docId=1990796&cid=48164&categoryId=48202
브로콜리 감자그라탱,1991004,48164,48202,"['우유', '모차렐라치즈', '브로콜리', '밀가루', '마늘', '후추', '파슬리가루', '소금', '파르메산치즈', '감자', '생크림']","['항암', '고혈압', '관절염']","12,205",/entry.nhn?docId=1991004&cid=48164&categoryId=48202
곱창구이,5678216,48164,48202,"['부추생채', '식용유', '마늘', '밀가루', '곱창', '굵은소금', '양파', '감자']","['항암', '고혈압', '관절염']","4,534",/entry.nhn?docId=5678216&cid=48164&categoryId=48202
전복구이,1988718,48164,48202,"['전복', '마늘', '간장', '참기름']","['항암', '고혈압', '관절염']","178,068",/entry.nhn?docId=1988718&cid=48164&categoryId=48202
치즈 감자 그라탱,1991453,48164,48202,"['토마토소스', '후춧가루', '우유', '버터', '모차렐라치즈', '파슬리가루', '소금', '양파', '감자', '생크림']","['고혈압', '관절염']","87,452",/entry.nhn?docId=1991453&cid=48164&categoryId=48202
토마토치즈그라탱,1990091,48164,48202,"['올리브유', '방울토마토', '소금', '모차렐라치즈']",[],"26,012",/entry.nhn?docId=1990091&cid=48164&categoryId=48202
버섯크림 소스를 곁들인 도미구이,1992929,48164,48202,"['올리브오일', '새우', '생크림', '후춧가루', '도미살', '우유', '양송이', '화이트와인', '크림소스', '파르메산치즈', '소금', '다진청양고추', '저민마늘', '다진양파']",['관절염'],"9,830",/entry.nhn?docId=1992929&cid=48164&categoryId=48202
삼치구이,1990056,48164,48202,"['삼치', '소금', '콩기름']",['항암'],"45,205",/entry.nhn?docId=1990056&cid=48164&categoryId=48202
감자와 가지오븐구이,731691,48164,48202,"['토마토', '후추', '오리가노', '이탈리아파슬리', '소금', '다진', '감자', '올리브유', '빨간']","['항암', '고혈압', '당뇨']","25,782",/entry.nhn?docId=731691&cid=48164&categoryId=48202
단호박구이검은깨드레싱,1989248,48164,48202,"['올리브오일', '검은깨', '꿀', '간', '씨머스터드', '마늘', '미나리', '식초', '소금', '양파', '단호박', '검은깨드레싱']","['항암', '고혈압', '당뇨', '관절염']","16,206",/entry.nhn?docId=1989248&cid=48164&categoryId=48202
두부 양념 구이,1992381,48164,48202,"['고추장', '후춧가루', '식용유', '양념', '숙주', '물엿', '스테이크소스', '소금', '다진마늘', '풋고추', '양파', '다진파', '두부']","['고혈압', '관절염']","15,731",/entry.nhn?docId=1992381&cid=48164&categoryId=48202
빈대떡,5695855,48164,48202,"['배추김치', '물', '다진돼지고기', '불린고사리', '거피녹두', '식용유', '숙주', '소금', '참기름', '홍고추', '청고추']",[],"4,412",/entry.nhn?docId=5695855&cid=48164&categoryId=48202
김구이,5678173,48164,48202,"['김', '소금', '참기름']",[],"1,774",/entry.nhn?docId=5678173&cid=48164&categoryId=48202
갈비,1988149,48164,48202,"['청주', '더확실히', '후춧가루', '엘에이갈비', '대파', '양념', '밑간', '소주', '같은효과를내어', '설탕', '생강', '물엿', '참기름', '깨소금', '마늘', '간장']","['항암', '고혈압', '관절염']","240,368",/entry.nhn?docId=1988149&cid=48164&categoryId=48202
캠핑 고추장삼겹살,1991914,48164,48202,"['고추장', '설탕', '고춧가루', '참기름', '다진마늘', '양파', '삼겹살', '파', '간장']",['고혈압'],"72,409",/entry.nhn?docId=1991914&cid=48164&categoryId=48202
닭 버터 구이,1989938,48164,48202,"['상추', '후춧가루', '식용유', '양송이', '버터', '소금', '청피망', '양파', '청주', '닭고기']",['고혈압'],"51,705",/entry.nhn?docId=1989938&cid=48164&categoryId=48202
가지구이와 매시트포테이토,1992343,48164,48202,"['올리브오일', '가지양념', '레드와인비니거', '말린고추씨', '매쉬드포테이토양념', '다진파슬리', '마요네즈', '말린', '소금', '다진마늘', '풋고추', '가지', '붉은고추', '감자', '간장']","['항암', '고혈압']","34,081",/entry.nhn?docId=1992343&cid=48164&categoryId=48202
더덕숯불닭갈비,1988271,48164,48202,"['닭봉', '후춧가루', '식용유', '닭갈비용닭살', '설탕', '마늘', '물엿', '생강', '더덕', '참기름', '고춧가루', '닭살을따로구매하여사용하여도', '청주', '양념장']","['항암', '고혈압', '당뇨', '관절염']","32,844",/entry.nhn?docId=1988271&cid=48164&categoryId=48202
당근칩,1989866,48164,48202,"['당근', '슈거파우더', '꼬치']","['항암', '고혈압']","13,505",/entry.nhn?docId=1989866&cid=48164&categoryId=48202
갈비구이,5682947,48164,48202,"['후춧가루', '다진파', '양념장간장', '설탕', '양념배', '참기름', '다진마늘', '배즙', '정도로뼈째두툼하게', '청주', '깨소금']",[],"3,961",/entry.nhn?docId=5682947&cid=48164&categoryId=48202
황태구이,1988446,48164,48202,"['깨', '물', '양조간장', '황태', '대파', '고추장양념', '설탕', '후추', '애벌양념', '참기름', '고춧가루', '마늘']","['항암', '고혈압', '관절염']","191,985",/entry.nhn?docId=1988446&cid=48164&categoryId=48202
두부구이와 김양념장,1988895,48164,48202,"['포도씨오일', '다시마', '들기름', '김', '마늘', '김양념장', '고춧가루', '소금', '깨소금', '맛술', '파', '간장', '두부']","['항암', '고혈압', '관절염']","39,364",/entry.nhn?docId=1988895&cid=48164&categoryId=48202
고추장 황태구이,1991204,48164,48202,"['실파', '고추장', '포도씨유', '설탕', '통깨', '황태포', '참기름', '홍고추', '간장', '청고추']",[],"20,460",/entry.nhn?docId=1991204&cid=48164&categoryId=48202
조개구이,1992511,48164,48202,"['바지락', '고추장', '초고추장양념', '레몬', '설탕', '식초', '유자건지', '레몬즙', '고춧가루', '청주', '있는']",[],"54,958",/entry.nhn?docId=1992511&cid=48164&categoryId=48202
새송이버섯 구이,1992151,48164,48202,"['물', '겨자', '후춧가루', '새송이버섯', '설탕', '솔잎', '소스', '식초', '잣가루', '소금', '참기름', '갠겨자']",[],"33,692",/entry.nhn?docId=1992151&cid=48164&categoryId=48202
부각김부각,5678179,48164,48202,"['식용유', '김']",[],"4,371",/entry.nhn?docId=5678179&cid=48164&categoryId=48202
도루메기구이도루묵구이,5668068,48164,48202,"['고추장', '도루묵', '식용유', '설탕', '식초', '다진마늘', '다진파', '간장']",[],"3,250",/entry.nhn?docId=5668068&cid=48164&categoryId=48202
설야멱   증보산림경제,5706777,48164,48202,"['들깨', '소고기', '소금', '참기름', '간장']",[],708,/entry.nhn?docId=5706777&cid=48164&categoryId=48202
갈비구이,1989440,48164,48202,"['실파', '갈비찜', '썬', '통깨', '갈비', '실고추']",[],"446,854",/entry.nhn?docId=1989440&cid=48164&categoryId=48202
레드와인 오겹살구이,1991945,48164,48202,"['올리브오일', '이탈리안파슬리', '후춧가루', '통삼겹살', '민트', '루꼴라', '케이퍼', '사워크림', '디종머스터드', '조청', '설탕', '소금', '엔초비', '바질', '마늘', '간장', '화이트와인식초', '레드와인']","['항암', '고혈압', '관절염']","37,269",/entry.nhn?docId=1991945&cid=48164&categoryId=48202
통닭,1988176,48164,48202,"['후춧가루', '부담이있을경우올리브유로', '버터', '닭고기', '올리브유']",[],"35,166",/entry.nhn?docId=1988176&cid=48164&categoryId=48202
고구마 브로콜리 그라탱,1991194,48164,48202,"['뜨거운물', '설탕', '브로콜리', '고구마', '식초', '시판크림치즈수프', '간장']","['항암', '고혈압', '관절염']","17,789",/entry.nhn?docId=1991194&cid=48164&categoryId=48202
고등어구이,5682786,48164,48202,"['후', '고등어', '식용유', '소금']",['항암'],"2,409",/entry.nhn?docId=5682786&cid=48164&categoryId=48202
오징어구이,955958,48164,48202,"['다진생강', '후춧가루', '대파', '식용유', '설탕', '참기름', '다진마늘', '깨소금', '고춧가루', '다진파', '오징어']",[],"18,327",/entry.nhn?docId=955958&cid=48164&categoryId=48202
포크 립 구이,1992307,48164,48202,"['후춧가루', '플레인요구르트', '설탕', '아보카도소스', '토마토샐러드', '양파즙', '토마토케첩', '올리브오일', '토마토', '튀김기름', '케첩', '소스', '돼지립', '마늘', '잘익은아보카도', '레드와인', '익은아보카도', '냉동감자채', '소금', '우스터소스']","['항암', '고혈압', '당뇨', '관절염']","15,784",/entry.nhn?docId=1992307&cid=48164&categoryId=48202
연어구이와 콩 샐러드,1992341,48164,48202,"['연어', '차이브', '올리브오일', '크림치즈', '노랑파프리카', '소금', '모둠콩', '빨강파프리카']","['항암', '고혈압', '관절염']","11,595",/entry.nhn?docId=1992341&cid=48164&categoryId=48202
갈비구이,1990855,48164,48202,"['양념간장', '술', '참기름', '배즙', '마늘', '다시마물']","['항암', '고혈압', '관절염']","293,835",/entry.nhn?docId=1990855&cid=48164&categoryId=48202
